NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
40055,NLS 7.1/CANX 4,2014-034C,,97.6,Inactive,437.365,Amateur radio,,,,,
40054,AISAT,2014-034B,,97.5,Inactive,437.511,Amateur radio,,,,,
40043,TIGRISAT,2014-033AK,,97.7,Active,,Amateur radio,,,,,
40042,POLYITAN 1,2014-033AJ,,96.7,Active,437.677,Amateur radio,,,,,
40039,PERSEUS M1,2014-033AF,,96.9,Non-amateur,,Amateur radio,,,,,
40037,PERSEUS M2,2014-033AD,,96.9,Non-amateur,,Amateur radio,,,,,
40034,ANTELSAT,2014-033AA,,97.7,Inactive,437.28,Amateur radio,,,,,
40032,QB50P2ÊÊCÊ,2014-033Y,,96.8,Inactive,145.88,Amateur radio,,,,,
40030,DTUSAT-2ÊÊCÊ,2014-033W,,96.7,Active,2401.86,Amateur radio,,,,,
40028,POPSAT HIP 1,2014-033U,,96.7,Inactive,437.405,Amateur radio,,,,,
40025,QB50P1 (EO-79)ÊÊCÊ,2014-033R,,96.7,Inactive,145.815,Amateur radio,,,,,
40024,NANOSAT C BR1ÊÊCÊ,2014-033Q,,96.7,Active,145.865,Amateur radio,,,,,
40022,PACE,2014-033N,,96.7,Inactive,437.485,Amateur radio,,,,,
40021,DUCHIFAT-1ÊÊCÊ,2014-033M,,96.6,Active,145.98,Amateur radio,,,,,
40017,TABLETSAT AURORA,2014-033H,,96.4,Inactive,437.05,Amateur radio,,,,,
40016,SAUDISAT 4,2014-033G,,97.6,Unknown,,Amateur radio,,,,,
40014,BUGSAT 1,2014-033E,,96.3,Active,,Amateur radio,,,,,
40012,UNISAT 6,2014-033C,,97.7,Active,437.422,Amateur radio,,,,,
39770,SPROUT,2014-029E,,96.8,Active,437.525,Amateur radio,,,,,
39770,SPROUTÊÊCÊ,2014-029E,,96.8,Active,,Amateur radio,,,,,
39769,RISING 2ÊÊCÊ,2014-029D,,97.2,Non-amateur,,Amateur radio,,,,,
39768,SOCRATES,2014-029C,,97,Non-amateur,,Amateur radio,,,,,
39767,UNIFORM 1,2014-029B,,97.1,Non-amateur,,Amateur radio,,,,,
39492,AIST 1,2013-078C,,96.8,Inactive,435.265,Amateur radio,,,,,
39492,AIST 1,2013-078C,,96.8,Inactive,,Amateur radio,,,,,
39471,IPEX,2013-072K,,97.6,Inactive,437.27,Amateur radio,,,,,
39470,CUNYSAT-1,2013-072J,,-,Inactive,437.505,Amateur radio,,,,,
